                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3632,                0.84723,                  1.023,                 1.9087,                  1.247,                 1.0185,                0.57758,                0.45175,                0.45882,                0.23815,                 1.3823,                0.89669,                  1.018,                 1.9056,                 1.2872,                 1.0131,             0.00089605,             0.00089605,             0.00089605
                     24,                 1.3486,                0.84719,                 1.0216,                 1.8926,                  1.251,                 1.0121,                0.58872,                0.46084,                0.47766,                 0.2443,                 1.4146,                0.91859,                  1.016,                 1.9249,                 1.2658,                 1.0293,              0.0008911,              0.0008911,              0.0008911
                     25,                 1.3996,                0.87051,                 1.0382,                 1.9559,                 1.2779,                 1.0323,                 0.5704,                0.46577,                0.47471,                0.24893,                  1.375,                0.84694,                 1.0102,                 1.8763,                 1.2352,                 1.0106,             0.00088615,             0.00088615,             0.00088615
                     26,                 1.3595,                 0.8437,                 1.0233,                 1.9172,                 1.2579,                  1.021,                0.56765,                0.45693,                0.48113,                0.24022,                 1.4746,                0.92772,                 1.0524,                 1.9551,                 1.3214,                 1.0292,              0.0008812,              0.0008812,              0.0008812
                     27,                 1.3241,                0.84393,                 1.0222,                 1.8475,                 1.2434,                  1.018,                0.58867,                0.47425,                0.47946,                0.25846,                 1.3667,                0.85148,                 1.0326,                 1.8715,                 1.2213,                 1.0165,             0.00087625,             0.00087625,             0.00087625
                     28,                 1.3063,                0.80622,                 1.0104,                 1.8477,                 1.2046,                 1.0106,                0.56796,                0.48252,                0.49659,                0.25735,                 1.3991,                0.83098,                 1.0376,                 1.9126,                 1.1922,                 1.0249,              0.0008713,              0.0008713,              0.0008713
                     29,                 1.3338,                0.83169,                 1.0163,                 1.8925,                  1.235,                 1.0145,                0.62017,                 0.4857,                0.50605,                0.26889,                 1.3506,                0.80163,                 1.0165,                 1.8678,                 1.1651,                 1.0074,             0.00086635,             0.00086635,             0.00086635
                     30,                 1.3387,                0.83149,                 1.0227,                 1.8802,                 1.2382,                 1.0178,                0.60696,                0.48139,                0.49765,                0.26431,                  1.362,                0.81411,                 1.0202,                 1.8802,                 1.1994,                 1.0225,              0.0008614,              0.0008614,              0.0008614
                     31,                 1.2794,                0.79699,                 1.0023,                 1.8279,                 1.1993,                 1.0041,                0.64757,                0.46264,                0.50697,                  0.266,                  1.353,                0.82196,                 1.0213,                 1.8806,                 1.1825,                 1.0185,             0.00085645,             0.00085645,             0.00085645
                     32,                 1.2988,                0.80926,                 1.0029,                  1.858,                 1.2116,                 1.0082,                0.63788,                0.46931,                0.49379,                0.26434,                 1.3439,                0.80743,                  1.009,                 1.8743,                 1.1634,                 1.0167,              0.0008515,              0.0008515,              0.0008515
                     33,                  1.278,                0.79657,                0.99794,                 1.8237,                 1.1853,                 1.0002,                0.61813,                0.46249,                0.48947,                0.26434,                 1.3286,                0.81101,                 1.0192,                  1.839,                 1.2022,                 1.0015,             0.00084655,             0.00084655,             0.00084655
                     34,                 1.2921,                0.80951,                 1.0137,                 1.8093,                 1.2125,                 1.0135,                0.63034,                0.47686,                0.49316,                0.25905,                 1.3648,                0.82141,                  1.017,                 1.8613,                 1.1752,                 1.0099,              0.0008416,              0.0008416,              0.0008416
                     35,                 1.2758,                0.77393,                 1.0013,                 1.8316,                  1.161,                 1.0085,                0.62995,                0.46736,                0.50723,                0.26744,                 1.2805,                0.80048,                0.99271,                 1.8872,                 1.1717,                 1.0021,             0.00083665,             0.00083665,             0.00083665
                     36,                 1.2724,                0.78729,                0.99236,                   1.83,                 1.1834,                0.99747,                0.59458,                0.50793,                0.50967,                0.26914,                 1.2988,                 0.7605,                0.98825,                 1.8541,                 1.1099,                 0.9959,              0.0008317,              0.0008317,              0.0008317
                     37,                 1.2468,                0.76581,                 0.9944,                 1.7885,                 1.1477,                0.99703,                0.65995,                0.47915,                0.52072,                0.27557,                 1.3156,                0.76395,                 1.0144,                 1.8876,                 1.1492,                 1.0103,             0.00082675,             0.00082675,             0.00082675
                     38,                 1.2623,                  0.771,                0.99568,                 1.7894,                 1.1558,                 1.0005,                0.62788,                 0.5043,                0.52543,                0.27861,                 1.2787,                0.74144,                0.99218,                 1.8503,                 1.1188,                 1.0082,              0.0008218,              0.0008218,              0.0008218
                     39,                 1.2096,                0.74998,                0.98422,                 1.7528,                 1.1244,                0.99376,                0.64848,                0.50236,                0.53354,                0.27471,                 1.3016,                0.78328,                0.99202,                  1.845,                  1.121,                 0.9969,             0.00081685,             0.00081685,             0.00081685
                     40,                 1.2529,                0.75549,                0.99678,                 1.7912,                 1.1388,                  1.001,                 0.6499,                0.48553,                0.52502,                0.27055,                 1.3304,                0.76732,                 1.0095,                 1.9178,                 1.1072,                 1.0193,              0.0008119,              0.0008119,              0.0008119
                     41,                 1.2424,                0.75741,                0.99067,                 1.7723,                 1.1364,                 1.0001,                0.63471,                0.50626,                0.53129,                0.27738,                 1.3132,                0.76348,                 1.0001,                 1.8963,                 1.0826,                 1.0126,             0.00080695,             0.00080695,             0.00080695
                     42,                 1.2514,                 0.7547,                0.99692,                 1.7692,                 1.1279,                 1.0004,                0.66506,                0.51159,                0.53309,                0.28868,                 1.2922,                0.75462,                0.99203,                 1.8198,                 1.0729,                 1.0022,               0.000802,               0.000802,               0.000802
                     43,                 1.2215,                0.74837,                0.98545,                 1.7401,                 1.1119,                0.99383,                0.66401,                0.49303,                0.52538,                0.27251,                 1.3019,                0.77696,                0.99905,                 1.8553,                 1.1339,                 1.0065,             0.00079705,             0.00079705,             0.00079705
                     44,                 1.2413,                0.76381,                0.99592,                  1.775,                  1.162,                 1.0029,                0.63766,                0.45809,                0.50986,                0.27614,                 1.2931,                0.80903,                 1.0006,                 1.8356,                 1.1757,                 1.0036,              0.0007921,              0.0007921,              0.0007921
                     45,                 1.2517,                0.76322,                 1.0024,                 1.7694,                  1.167,                 1.0107,                 0.6512,                0.50151,                0.52503,                0.28464,                  1.299,                0.76503,                 0.9986,                 1.8131,                 1.1172,                0.99888,             0.00078715,             0.00078715,             0.00078715
                     46,                 1.2565,                0.75644,                0.99411,                 1.7977,                 1.1432,                 1.0003,                0.67528,                0.47067,                0.52043,                0.26919,                 1.3125,                0.78083,                 1.0004,                 1.9062,                 1.1581,                 1.0061,              0.0007822,              0.0007822,              0.0007822
                     47,                 1.2241,                0.73204,                0.98005,                 1.7834,                 1.1146,                0.99102,                0.66315,                0.50349,                0.53109,                0.28137,                 1.2714,                0.75987,                 0.9915,                 1.8189,                 1.1413,                 0.9959,             0.00077725,             0.00077725,             0.00077725
                     48,                 1.2238,                 0.7368,                0.98463,                 1.7482,                 1.1315,                0.99233,                0.68447,                0.49579,                0.54373,                0.29233,                  1.294,                0.76067,                0.99727,                 1.8211,                 1.1235,                0.99408,              0.0007723,              0.0007723,              0.0007723
                     49,                 1.2137,                0.72566,                0.98288,                  1.743,                  1.098,                0.99143,                 0.6619,                0.49012,                0.52464,                0.27723,                 1.3051,                0.75611,                 1.0013,                 1.8531,                 1.1501,                  1.001,             0.00076735,             0.00076735,             0.00076735
                     50,                 1.1881,                0.71153,                0.97796,                 1.7244,                 1.0815,                0.98896,                0.65867,                0.48982,                0.53238,                0.27335,                 1.3021,                0.75512,                0.99632,                 1.9142,                  1.134,                 1.0099,              0.0007624,              0.0007624,              0.0007624
                     51,                 1.1929,                0.71563,                0.97661,                  1.727,                 1.0781,                0.98321,                0.67982,                0.49134,                0.53036,                0.28172,                 1.3048,                0.77429,                 1.0125,                 1.8301,                  1.155,                0.99684,             0.00075745,             0.00075745,             0.00075745
                     52,                 1.1972,                0.72842,                0.97285,                 1.7405,                 1.0961,                0.98455,                0.65092,                0.50683,                0.53723,                0.28269,                  1.286,                0.76187,                 1.0004,                 1.8289,                 1.1067,                 1.0044,              0.0007525,              0.0007525,              0.0007525
                     53,                 1.2041,                0.72294,                0.97544,                 1.7651,                 1.0971,                0.98905,                0.64871,                0.49542,                0.53194,                0.27974,                 1.2877,                0.76803,                0.99046,                 1.8696,                 1.1157,                 1.0035,             0.00074755,             0.00074755,             0.00074755
                     54,                 1.1652,                0.69611,                0.96527,                 1.7164,                 1.0631,                0.97589,                0.69442,                0.51138,                0.55609,                0.30071,                 1.2618,                   0.72,                0.98057,                 1.8078,                 1.0489,                0.98911,              0.0007426,              0.0007426,              0.0007426
                     55,                 1.1767,                0.70561,                0.97403,                 1.7279,                 1.0708,                0.98744,                0.64397,                0.50828,                0.54425,                0.28369,                 1.2522,                0.71392,                0.97642,                 1.8822,                 1.0625,                0.99882,             0.00073765,             0.00073765,             0.00073765
                     56,                 1.1657,                0.70254,                0.97099,                 1.6877,                 1.0615,                0.98106,                0.70103,                0.50447,                0.54493,                 0.2984,                 1.2593,                0.72284,                0.97858,                 1.8115,                 1.0659,                0.99511,              0.0007327,              0.0007327,              0.0007327
                     57,                 1.1732,                0.69767,                0.96805,                 1.7163,                 1.0577,                0.97924,                0.66004,                0.50742,                0.54065,                  0.291,                 1.2557,                0.74987,                0.98082,                 1.8321,                  1.066,                0.99377,             0.00072775,             0.00072775,             0.00072775
                     58,                 1.1644,                0.69379,                0.96692,                 1.6955,                 1.0328,                0.97452,                0.71738,                0.51055,                 0.5645,                0.30276,                 1.2382,                0.72955,                0.97536,                 1.8048,                 1.0596,                0.99486,              0.0007228,              0.0007228,              0.0007228
                     59,                 1.1886,                0.71334,                0.97517,                 1.7447,                 1.0789,                0.98942,                0.69834,                0.51598,                0.55826,                0.30429,                 1.2478,                0.70401,                0.97799,                 1.7997,                 1.0511,                0.99138,             0.00071785,             0.00071785,             0.00071785
