                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3709,                0.94352,                 1.0394,                  1.942,                 1.3557,                 1.0423,                0.50461,                 0.3981,                0.37617,                0.18721,                 1.4812,                 1.2833,                 1.0744,                 2.0195,                  1.764,                 1.0802,               0.008911,               0.008911,               0.008911
                     25,                 1.3939,                0.94015,                 1.0455,                 1.9483,                 1.3633,                 1.0517,                0.53884,                0.37896,                0.39378,                0.18639,                 1.5208,                  1.176,                 1.0829,                 2.0274,                 1.8631,                 1.0782,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.3861,                0.92817,                 1.0308,                 1.9198,                 1.3433,                 1.0359,                0.56513,                0.41405,                0.42514,                0.20499,                   1.45,                 1.1031,                 1.0543,                 2.0016,                 1.6703,                 1.0859,               0.008812,               0.008812,               0.008812
                     27,                 1.3404,                0.92009,                 1.0264,                 1.8821,                 1.3392,                 1.0365,                0.59462,                 0.3996,                0.42538,                0.21564,                 1.4219,                 1.0128,                 1.0428,                 1.9818,                 1.3838,                 1.0641,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.3073,                0.88642,                  1.014,                 1.8572,                 1.2871,                 1.0264,                0.57454,                0.37919,                0.40261,                0.21199,                 1.4036,                 1.0585,                 1.0566,                  1.977,                 1.5034,                 1.0726,               0.008713,               0.008713,               0.008713
                     29,                 1.3328,                0.89852,                 1.0173,                 1.9175,                 1.3208,                 1.0307,                0.59117,                0.35207,                0.39593,                0.20451,                 1.4565,                 1.1637,                 1.0837,                 2.0198,                 1.5719,                 1.0871,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.3283,                0.90274,                 1.0188,                 1.8984,                 1.2907,                 1.0302,                0.58635,                0.34962,                0.37094,                0.18595,                 1.5411,                 1.2303,                  1.103,                 2.0805,                 1.6299,                 1.1038,               0.008614,               0.008614,               0.008614
                     31,                 1.2804,                0.86175,                 1.0035,                 1.8291,                 1.2355,                  1.018,                0.59006,                0.42633,                0.44908,                0.21693,                 1.4784,                 1.0566,                  1.055,                 2.0371,                 1.4262,                 1.0594,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2913,                0.86248,                 1.0019,                 1.8351,                  1.232,                  1.014,                0.61917,                0.43562,                0.44683,                0.22662,                 1.3913,                0.96714,                 1.0415,                  1.994,                  1.346,                 1.0634,               0.008515,               0.008515,               0.008515
                     33,                 1.2915,                0.86305,                 1.0007,                 1.8509,                 1.2423,                 1.0124,                0.62145,                0.43179,                0.44586,                 0.2307,                 1.4062,                 1.0765,                 1.0483,                 1.9906,                 1.4258,                 1.0599,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2605,                0.84072,                 1.0103,                 1.7914,                 1.2248,                 1.0252,                0.59336,                0.47108,                0.49762,                0.24971,                 1.3913,                0.90186,                 1.0258,                 1.9399,                 1.2467,                 1.0455,               0.008416,               0.008416,               0.008416
                     35,                 1.2828,                0.84634,                 1.0076,                 1.8278,                 1.2139,                 1.0232,                0.62655,                 0.4799,                0.50392,                 0.2576,                 1.3573,                0.91599,                 1.0262,                 1.9025,                 1.3045,                 1.0353,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2756,                0.84597,                0.99952,                 1.8199,                 1.2059,                 1.0134,                0.61082,                0.47006,                0.48806,                0.24911,                 1.4231,                0.92258,                 1.0442,                 1.9124,                 1.2726,                 1.0393,               0.008317,               0.008317,               0.008317
                     37,                 1.2588,                0.83488,                 1.0016,                 1.7811,                 1.1962,                 1.0133,                0.60905,                0.45122,                0.47225,                0.24206,                 1.3531,                0.91908,                 1.0262,                 1.9226,                 1.2736,                 1.0448,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2511,                0.83479,                 1.0017,                 1.8047,                 1.2027,                  1.019,                0.64294,                0.44825,                 0.4774,                0.24086,                 1.3582,                  0.907,                 1.0269,                 1.9376,                 1.2653,                 1.0444,               0.008218,               0.008218,               0.008218
                     39,                 1.2254,                0.81597,                0.99048,                 1.7549,                 1.1711,                 1.0103,                0.59379,                0.46112,                0.47343,                0.23602,                 1.3995,                0.94175,                 1.0487,                 1.9554,                 1.2835,                 1.0612,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2559,                0.82158,                0.99577,                 1.8021,                  1.208,                 1.0141,                0.60786,                 0.4344,                0.45841,                0.23223,                 1.4158,                0.89715,                  1.057,                 1.9898,                 1.2952,                 1.0784,               0.008119,               0.008119,               0.008119
                     41,                 1.2505,                0.80315,                0.99323,                 1.8099,                 1.1612,                 1.0132,                0.59688,                0.41331,                0.42927,                0.21743,                 1.4571,                 1.0068,                 1.0538,                 2.0414,                 1.4489,                 1.0796,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.2391,                0.81261,                0.99325,                 1.7726,                 1.1725,                 1.0099,                0.64654,                0.44516,                0.48261,                0.25441,                 1.3583,                0.90283,                 1.0148,                 1.9455,                 1.2786,                 1.0453,                0.00802,                0.00802,                0.00802
                     43,                 1.2164,                0.79559,                0.98815,                 1.7533,                 1.1459,                  1.007,                0.62233,                0.47117,                0.49983,                0.25747,                 1.3573,                0.89362,                 1.0163,                 1.9159,                 1.2077,                  1.037,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2419,                0.83006,                 1.0066,                 1.7753,                 1.2158,                 1.0246,                0.66294,                0.44734,                0.49281,                0.25856,                  1.359,                0.87389,                 1.0278,                 1.9592,                 1.2726,                 1.0546,               0.007921,               0.007921,               0.007921
                     45,                 1.2491,                0.82046,                 1.0004,                 1.7721,                 1.1903,                 1.0193,                0.73245,                0.41532,                0.48448,                0.25344,                 1.4012,                0.90524,                 1.0482,                 1.9485,                  1.304,                 1.0546,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.2506,                0.81206,                 1.0005,                 1.7744,                 1.1772,                 1.0189,                0.67358,                0.46048,                0.50918,                0.26238,                 1.3852,                0.86519,                 1.0251,                 1.9246,                 1.2191,                 1.0293,               0.007822,               0.007822,               0.007822
