                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3534,                0.84623,                 1.0257,                 1.8895,                 1.2961,                 1.0193,                0.63582,                0.41273,                0.45636,                0.24221,                 1.4152,                0.96687,                 1.0337,                   1.97,                 1.4642,                 1.0337,             0.00089605,             0.00089605,             0.00089605
                     24,                 1.3622,                0.86253,                 1.0313,                 1.8914,                 1.2843,                 1.0186,                0.60659,                0.42165,                0.45432,                0.24128,                 1.3922,                0.92071,                 1.0149,                 1.9359,                 1.3683,                 1.0182,              0.0008911,              0.0008911,              0.0008911
                     25,                 1.3697,                0.86967,                 1.0324,                 1.9234,                 1.3094,                 1.0281,                 0.6388,                0.44463,                0.48941,                0.25482,                 1.3659,                0.84665,                 1.0221,                 1.9086,                 1.2627,                 1.0194,             0.00088615,             0.00088615,             0.00088615
                     26,                 1.3723,                0.84565,                 1.0219,                 1.9176,                 1.2755,                 1.0178,                0.62175,                0.44815,                 0.4876,                0.25416,                 1.4087,                0.87218,                 1.0536,                 1.9338,                 1.2828,                 1.0256,              0.0008812,              0.0008812,              0.0008812
                     27,                 1.3393,                0.83816,                 1.0179,                  1.883,                 1.2435,                 1.0184,                 0.6477,                0.47576,                0.51547,                 0.2705,                 1.3291,                0.79977,                0.99694,                 1.8957,                 1.1874,                 1.0098,             0.00087625,             0.00087625,             0.00087625
                     28,                 1.3124,                0.80493,                 1.0082,                 1.8609,                 1.2168,                 1.0098,                0.64207,                0.46422,                 0.5036,                0.26714,                 1.3268,                0.80394,                 1.0102,                 1.8752,                 1.1973,                 1.0141,              0.0008713,              0.0008713,              0.0008713
                     29,                 1.3351,                0.82832,                 1.0109,                 1.8978,                 1.2474,                 1.0129,                0.65067,                0.44722,                0.47879,                0.25509,                 1.3637,                0.84672,                 1.0286,                 1.8967,                 1.2926,                 1.0166,             0.00086635,             0.00086635,             0.00086635
                     30,                 1.3409,                0.83574,                  1.022,                 1.8951,                 1.2492,                 1.0221,                0.64592,                0.46137,                0.49406,                0.26045,                 1.3703,                0.83137,                 1.0181,                 1.8944,                 1.1946,                 1.0159,              0.0008614,              0.0008614,              0.0008614
                     31,                 1.2789,                0.79158,                0.99975,                 1.8344,                 1.1875,                  1.001,                0.64994,                0.46543,                0.49988,                 0.2663,                 1.3564,                0.85317,                0.99439,                 1.9091,                 1.2272,                 1.0024,             0.00085645,             0.00085645,             0.00085645
                     32,                 1.3099,                0.79346,                 1.0016,                 1.8558,                 1.1951,                  1.007,                0.61443,                0.45898,                0.48624,                0.25291,                   1.35,                0.81212,                 1.0082,                  1.956,                 1.1868,                 1.0192,              0.0008515,              0.0008515,              0.0008515
