                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2663,                0.84193,                0.99093,                 1.8371,                 1.2041,                 1.0019,                0.54651,                0.38175,                0.39408,                0.19179,                 1.5074,                 1.3319,                 1.1205,                 2.0707,                 1.6515,                 1.1154,               0.008911,               0.008911,               0.008911
                     25,                 1.2498,                0.82764,                0.98503,                 1.8251,                 1.1746,                0.99866,                0.61305,                0.40642,                0.41728,                0.20601,                 1.5064,                 1.1846,                 1.0922,                 2.0332,                 1.6094,                 1.0935,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2394,                0.81877,                0.97492,                 1.8077,                   1.16,                0.99164,                0.53713,                0.41453,                0.40801,                0.20717,                  1.487,                 1.1148,                 1.0938,                 1.9784,                 1.5639,                 1.0775,               0.008812,               0.008812,               0.008812
                     27,                 1.2657,                0.81084,                0.98088,                 1.8205,                 1.1535,                 1.0004,                0.53147,                0.44565,                0.42481,                0.20549,                 1.4538,                 1.1417,                 1.0882,                 2.0012,                 1.5688,                   1.07,              0.0087625,              0.0087625,              0.0087625
                     28,                   1.24,                0.79189,                0.97205,                 1.7957,                 1.1325,                0.98698,                0.59931,                0.41414,                0.41831,                0.21423,                 1.4733,                 1.0271,                  1.079,                 2.0129,                  1.497,                 1.0844,               0.008713,               0.008713,               0.008713
                     29,                 1.2086,                0.78823,                0.97291,                 1.7648,                 1.1215,                0.99085,                0.55153,                  0.431,                0.42709,                0.21411,                 1.4189,                 1.1046,                 1.0695,                 1.9713,                 1.4423,                 1.0716,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2127,                0.79767,                0.97414,                 1.7666,                 1.1286,                0.98733,                0.58539,                0.42921,                 0.4349,                0.22468,                 1.4732,                 1.0518,                 1.0736,                 1.9976,                 1.4321,                 1.0618,               0.008614,               0.008614,               0.008614
                     31,                 1.2236,                0.78529,                0.96829,                 1.7861,                 1.1078,                0.98424,                0.53773,                0.43204,                0.42879,                0.21703,                 1.4082,                0.98333,                 1.0433,                 1.9757,                 1.3475,                 1.0531,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2013,                  0.762,                0.96962,                 1.7537,                 1.0799,                 0.9884,                0.53067,                0.39659,                0.41011,                0.20718,                 1.4724,                 1.1091,                 1.1055,                 1.9954,                 1.5182,                 1.1009,               0.008515,               0.008515,               0.008515
                     33,                 1.1993,                0.77155,                0.97775,                  1.709,                 1.0823,                0.99349,                0.60988,                0.47004,                0.49316,                0.25001,                 1.3459,                0.97184,                 1.0258,                 1.8973,                 1.3187,                 1.0413,              0.0084655,              0.0084655,              0.0084655
