                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2925,                0.83887,                 1.0099,                 1.8879,                 1.2757,                 1.0131,                0.59043,                0.46458,                0.45831,                 0.2379,                 1.3666,                0.89624,                 1.0362,                  1.912,                 1.2545,                 1.0251,              0.0008911,              0.0008911,              0.0008911
                     25,                 1.3011,                0.83782,                 1.0154,                  1.874,                 1.2679,                 1.0179,                0.64761,                 0.4499,                0.47506,                0.24789,                 1.3723,                0.89295,                 1.0381,                 1.9443,                 1.2594,                 1.0363,             0.00088615,             0.00088615,             0.00088615
                     26,                 1.2775,                0.81877,                 1.0013,                 1.8434,                 1.2443,                 1.0057,                0.64654,                0.48971,                0.51159,                0.26375,                 1.3609,                 0.8106,                 1.0275,                 1.9329,                 1.1557,                 1.0275,              0.0008812,              0.0008812,              0.0008812
                     27,                 1.2709,                0.81456,                 1.0046,                 1.8113,                 1.2282,                 1.0053,                0.63415,                0.44536,                0.46924,                  0.244,                 1.3736,                0.88207,                 1.0293,                 1.9454,                 1.2599,                 1.0441,             0.00087625,             0.00087625,             0.00087625
                     28,                 1.2395,                 0.7924,                 0.9939,                  1.777,                 1.1896,                0.99839,                0.65049,                0.44725,                  0.476,                0.24836,                 1.3706,                0.89982,                  1.026,                 1.8932,                 1.3178,                 1.0145,              0.0008713,              0.0008713,              0.0008713
                     29,                 1.2765,                0.81557,                 1.0003,                 1.8636,                 1.2367,                 1.0069,                0.63524,                0.44151,                0.47677,                0.25102,                 1.3573,                0.88765,                 1.0205,                 1.9266,                 1.2697,                 1.0233,             0.00086635,             0.00086635,             0.00086635
                     30,                 1.2646,                0.80636,                0.99739,                 1.8408,                  1.219,                 1.0049,                0.56756,                0.41302,                0.43504,                0.23226,                   1.37,                 1.0107,                 1.0446,                 1.9296,                 1.3713,                 1.0386,              0.0008614,              0.0008614,              0.0008614
                     31,                 1.2277,                0.78648,                0.98988,                 1.7937,                 1.1885,                0.99264,                0.59059,                0.43627,                 0.4546,                0.24257,                 1.3365,                0.91605,                 1.0242,                  1.889,                 1.3137,                 1.0116,             0.00085645,             0.00085645,             0.00085645
                     32,                 1.2674,                0.79071,                0.99197,                 1.8462,                 1.1983,                0.99686,                0.64006,                0.43974,                0.48215,                0.25569,                 1.3495,                0.87119,                 1.0121,                 1.8825,                 1.3073,                 1.0112,              0.0008515,              0.0008515,              0.0008515
                     33,                 1.2255,                0.77918,                 0.9864,                 1.7782,                 1.1846,                0.99191,                0.64423,                 0.4438,                0.48344,                0.25206,                 1.3531,                0.90761,                 1.0144,                 1.9385,                 1.3395,                 1.0201,             0.00084655,             0.00084655,             0.00084655
